"date","month","day","hour","trip_count","is_weekend","is_holiday","apparent_temperature","wind_speed","is_day","temperature","relative_humidity","precipitation","weather_code","season"
2024-01-01,1,1,0,29,0,1,9.4,5,0,11.4,64,0,2,"winter"
2024-01-01,1,1,5,25,0,1,8,3.9,0,9.4,85,0,3,"winter"
2024-01-01,1,1,6,36,0,1,8.3,2.6,0,9.6,80,0,3,"winter"
2024-01-01,1,1,7,55,0,1,8.7,2.2,0,9.9,79,0,3,"winter"
2024-01-01,1,1,8,46,0,1,9.1,1.3,1,10.2,78,0,3,"winter"
2024-01-01,1,1,9,85,0,1,10.5,0.4,1,11.4,72,0,3,"winter"
2024-01-01,1,1,10,117,0,1,13.2,2.5,1,14.3,61,0,2,"winter"
2024-01-01,1,1,11,141,0,1,16,5.1,1,17.2,56,0,2,"winter"
2024-01-01,1,1,12,157,0,1,19.9,5.2,1,20,49,0,1,"winter"
2024-01-01,1,1,13,232,0,1,21.1,6.7,1,21.6,41,0,3,"winter"
2024-01-01,1,1,14,267,0,1,21.2,7.7,1,22.7,34,0,3,"winter"
2024-01-01,1,1,15,272,0,1,21.3,7.7,1,23.4,29,0,3,"winter"
2024-01-01,1,1,16,236,0,1,21.1,6.3,1,23.6,26,0,2,"winter"
2024-01-01,1,1,17,273,0,1,20.9,4.8,1,23.2,27,0,3,"winter"
2024-01-01,1,1,18,310,0,1,20.2,7.3,1,22.4,33,0,3,"winter"
2024-01-01,1,1,19,314,0,1,18.7,7.9,0,20.1,48,0,3,"winter"
2024-01-01,1,1,20,274,0,1,17.5,6.5,0,19.1,47,0,3,"winter"
2024-01-01,1,1,21,215,0,1,16.1,5.6,0,18,44,0,3,"winter"
2024-01-01,1,1,22,123,0,1,15.2,5.5,0,17.2,45,0,3,"winter"
2024-01-01,1,1,23,58,0,1,14.9,5.6,0,16.6,51,0,3,"winter"
2024-01-02,1,2,0,18,0,0,14.3,4.8,0,15.5,61,0,3,"winter"
2024-01-02,1,2,5,57,0,0,12.3,4,0,13,79,0,3,"winter"
2024-01-02,1,2,6,222,0,0,11.2,3.3,0,11.9,83,0,3,"winter"
2024-01-02,1,2,7,424,0,0,11.1,3.1,0,11.7,86,0,3,"winter"
2024-01-02,1,2,8,711,0,0,10.7,3.3,1,11.3,88,0,3,"winter"
2024-01-02,1,2,9,446,0,0,12.1,2.1,1,12.5,84,0,3,"winter"
2024-01-02,1,2,10,410,0,0,15.4,2.3,1,15.8,68,0,3,"winter"
2024-01-02,1,2,11,415,0,0,17.1,2.2,1,17.5,60,0,3,"winter"
2024-01-02,1,2,12,433,0,0,18.9,1.9,1,19.7,45,0,3,"winter"
2024-01-02,1,2,13,546,0,0,18.9,5.5,1,21,34,0,3,"winter"
2024-01-02,1,2,14,687,0,0,19.9,9.4,1,22.3,30,0,3,"winter"
2024-01-02,1,2,15,689,0,0,18.9,11.2,1,22.3,27,0,3,"winter"
